recd,NetID,Brand,Age.f,Status.i,PHI.i,Status.f,PHI.f,Damage_related
348,J347,Dawaplus 2.0,6,New,0,Used last night,NA,No
349,J348,Dawaplus 2.0,6,New,0,Used last night,NA,No
350,J349,Dawaplus 2.0,6,New,0,Not in use,NA,No
351,J350,Dawaplus 2.0,6,New,0,Used last night,NA,No
352,J351,Dawaplus 2.0,6,New,0,Used last night,0,No
353,J352,Dawaplus 2.0,6,New,0,Used last night,NA,No
354,J353,Dawaplus 2.0,6,New,0,Used last night,NA,No
356,J355,Dawaplus 2.0,6,New,0,Used last night,0,No
357,J356,Dawaplus 2.0,6,New,0,Used last night,NA,No
358,J357,Dawaplus 2.0,6,New,0,Used last night,NA,No
359,J358,Dawaplus 2.0,6,New,0,Used last night,NA,No
360,J359,Dawaplus 2.0,6,New,0,Not in use,NA,No
362,J361,Dawaplus 2.0,6,New,0,Used last night,NA,No
363,J362,Dawaplus 2.0,6,New,0,Used last night,NA,No
364,J363,Dawaplus 2.0,6,New,0,Used last night,NA,No
365,J364,Dawaplus 2.0,6,New,0,Used last night,NA,No
366,J365,Dawaplus 2.0,6,New,0,Used last night,NA,No
367,J366,Dawaplus 2.0,6,New,0,Not used last night,NA,No
368,J367,Dawaplus 2.0,6,New,0,Used last night,NA,No
369,J368,Dawaplus 2.0,6,New,0,Not in use,NA,No
370,J369,Dawaplus 2.0,6,New,0,Used last night,NA,No
371,J370,Dawaplus 2.0,6,New,0,Used last night,NA,No
372,J371,Dawaplus 2.0,6,New,0,Used last night,NA,No
373,J375,Dawaplus 2.0,6,New,0,Used last night,NA,No
374,J381,Dawaplus 2.0,6,New,0,Used last night,NA,No
375,J382,Dawaplus 2.0,6,New,0,Not used last night,0,No
376,J383,Dawaplus 2.0,6,New,0,Used last night,NA,No
377,J384,Dawaplus 2.0,6,New,0,Used last night,NA,No
378,J385,Dawaplus 2.0,6,New,0,Used last night,NA,No
379,J386,Dawaplus 2.0,6,New,0,Used last night,NA,No
380,J387,Dawaplus 2.0,6,New,0,Not in use,0,No
382,J390,Dawaplus 2.0,6,New,0,Used last night,NA,No
383,J391,Dawaplus 2.0,6,New,0,Used last night,NA,No
384,J392,Dawaplus 2.0,6,New,0,Not used last night,NA,No
385,J393,Dawaplus 2.0,6,New,0,Used last night,NA,No
386,J394,Dawaplus 2.0,6,New,0,Not used last night,NA,No
387,J395,Dawaplus 2.0,6,New,0,Not used last night,NA,No
388,J396,Dawaplus 2.0,6,New,0,Used last night,NA,No
390,J415,Dawaplus 2.0,6,New,0,Used last night,NA,No
391,J416,Dawaplus 2.0,6,New,0,Used last night,NA,No
392,J417,Dawaplus 2.0,6,New,0,Not used last night,NA,No
393,J418,Dawaplus 2.0,6,New,0,Used last night,NA,No
394,J419,Dawaplus 2.0,6,New,0,Used last night,NA,No
396,J421,Dawaplus 2.0,6,New,0,Used last night,NA,No
397,J422,Dawaplus 2.0,6,New,0,Not used last night,NA,No
398,J423,Dawaplus 2.0,6,New,0,Not in use,NA,No
399,J424,Dawaplus 2.0,6,New,0,Not used last night,NA,No
400,J425,Dawaplus 2.0,6,New,0,Not used last night,NA,No
401,J426,Dawaplus 2.0,6,New,0,Not in use,NA,No
402,J427,Dawaplus 2.0,6,New,0,Used last night,NA,No
