"","S_1","S_2","S_3","S_4","A","Month"
"2273",0.0369768809434014,0.185715682394946,0.0278641432785334,0.339393776284949,0.41004951709817,27.276
"2274",0.0369322988503152,0.185666908614365,0.0278305484143315,0.339357113402836,0.410213130718153,27.288
"2275",0.0368877705095411,0.185618139371505,0.0277969940535158,0.339320389439611,0.410376706625828,27.3
"2276",0.0368432958562646,0.185569374683716,0.0277634801472597,0.339283604492856,0.410540244819904,27.312
"2277",0.036798874825749,0.185520614568305,0.0277300066467954,0.339246758660045,0.410703745299106,27.324
"2278",0.0367545073533359,0.185471859042538,0.027696573503414,0.339209852038539,0.410867208062174,27.336
"2279",0.0367101933744449,0.185423108123636,0.027663180668465,0.339172884725591,0.411030633107863,27.348
"2280",0.0366659328245735,0.185374361828781,0.0276298280933568,0.339135856818344,0.411194020434945,27.36
"2281",0.036621725639297,0.185325620175109,0.0275965157295562,0.339098768413831,0.411357370042207,27.372
"2282",0.0365775717542685,0.185276883179717,0.0275632435285884,0.339061619608973,0.411520681928453,27.384
"2283",0.0365334711052186,0.18522815085966,0.0275300114420371,0.339024410500584,0.411683956092501,27.396
"2284",0.0364894236279556,0.185179423231948,0.0274968194215442,0.338987141185367,0.411847192533186,27.408
"2285",0.036445429258365,0.185130700313552,0.0274636674188101,0.338949811759916,0.412010391249357,27.42
"2286",0.0364014879324099,0.1850819821214,0.0274305553855932,0.338912422320716,0.412173552239882,27.432
"2287",0.0363575995861306,0.185033268672379,0.0273974832737098,0.338874972964141,0.41233667550364,27.444
"2288",0.0363137641556444,0.184984559983335,0.0273644510350348,0.338837463786458,0.412499761039529,27.456
"2289",0.0362699815771459,0.18493585607107,0.0273314586215005,0.338799894883823,0.412662808846461,27.468
"2290",0.0362262517869065,0.184887156952347,0.0272985059850976,0.338762266352284,0.412825818923365,27.48
"2291",0.0361825747212745,0.184838462643886,0.0272655930778742,0.338724578287781,0.412988791269184,27.492
"2292",0.0361389503166752,0.184789773162368,0.0272327198519364,0.338686830786142,0.413151725882878,27.504
"2293",0.0360953785096104,0.184741088524432,0.027199886259448,0.338649023943091,0.41331462276342,27.516
"2294",0.0360518592366584,0.184692408746673,0.0271670922526304,0.338611157854238,0.413477481909801,27.528
"2295",0.0360083924344743,0.184643733845649,0.0271343377837625,0.338573232615089,0.413640303321025,27.54
"2296",0.0359649780397894,0.184595063837876,0.0271016228051808,0.338535248321039,0.413803086996115,27.552
"2297",0.0359216159894114,0.184546398739829,0.0270689472692791,0.338497205067375,0.413965832934106,27.564
"2298",0.0358783062202242,0.18449773856794,0.0270363111285086,0.338459102949278,0.414128541134049,27.576
"2299",0.035835048669188,0.184449083338605,0.0270037143353778,0.338420942061818,0.414291211595011,27.588
"2300",0.0357918432733388,0.184400433068175,0.0269711568424525,0.338382722499959,0.414453844316075,27.6
"2301",0.0357486899697887,0.184351787772963,0.0269386386023555,0.338344444358555,0.414616439296338,27.612
"2302",0.0357055886957257,0.184303147469242,0.0269061595677667,0.338306107732354,0.414778996534912,27.624
"2303",0.0356625393884135,0.184254512173243,0.026873719691423,0.338267712715996,0.414941516030925,27.636
"2304",0.0356195419851914,0.184205881901157,0.0268413189261184,0.338229259404012,0.415103997783521,27.648
"2305",0.0355765964234746,0.184157256669137,0.0268089572247035,0.338190747890828,0.415266441791857,27.66
