,Country,NetCode,NetID,Brand,Status.12,Status.24,Status.6,Status.18,Status.48,Status.30,Status.42,,
7605,Zambia,10920,10920,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7606,Zambia,10921,10921,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7607,Zambia,10922,10922,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7608,Zambia,10923,10923,Olyset,LastNight,LastNight,NA,LastNight,NA,Attrited,NA,,
7609,Zambia,10924,10924,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
7973,Zambia,10925,10925,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
9955,Zambia,11001,11001,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
11684,Zambia,11002,11002,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
9956,Zambia,11003,11003,Olyset,LastNight,Attrited,NA,NotLastNight,NA,NA,NA,,
9957,Zambia,11004,11004,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
9958,Zambia,11005,11005,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
9959,Zambia,11006,11006,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
7610,Zambia,11007,11007,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
9960,Zambia,11008,11008,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
9961,Zambia,11009,11009,Olyset,LastNight,Unclear,NA,LastNight,NA,NA,NA,,
7974,Zambia,11010,11010,Olyset,LastNight,LastNight,NA,NotLastNight,NA,Attrited,NA,,
8013,Zambia,11011,11011,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
9962,Zambia,11012,11012,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
9963,Zambia,11013,11013,Olyset,LastNight,NA,NA,Attrited,NA,NA,NA,,
9964,Zambia,11014,11014,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7975,Zambia,11015,11015,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
9965,Zambia,11016,11016,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7611,Zambia,11017,11017,Olyset,LastNight,LastNight,NA,NotLastNight,NA,NA,NA,,
9966,Zambia,11018,11018,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
9967,Zambia,11019,11019,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
9968,Zambia,11020,11020,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
7976,Zambia,11021,11021,Olyset,LastNight,Removed,NA,NotLastNight,NA,NA,NA,,
7977,Zambia,11022,11022,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
7978,Zambia,11023,11023,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
9969,Zambia,11024,11024,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7979,Zambia,11025,11025,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
7829,Zambia,11101,11101,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
8064,Zambia,11102,11102,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
11685,Zambia,11103,11103,Olyset,LastNight,Removed,NA,LastNight,NA,NA,NA,,
7830,Zambia,11104,11104,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
11686,Zambia,11105,11105,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
8065,Zambia,11106,11106,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
9970,Zambia,11107,11107,Olyset,LastNight,NA,NA,Removed,NA,NA,NA,,
11687,Zambia,11108,11108,Olyset,LastNight,LastNight,NA,LastNight,NA,Removed,NA,,
9971,Zambia,11109,11109,Olyset,LastNight,LastNight,NA,NotLastNight,NA,LastNight,NA,,
11688,Zambia,11110,11110,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
11689,Zambia,11111,11111,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
9972,Zambia,11112,11112,Olyset,LastNight,LastNight,NA,LastNight,NA,LastNight,NA,,
8062,Zambia,11113,11113,Olyset,LastNight,LastNight,NA,LastNight,NA,NA,NA,,
11690,Zambia,11114,11114,Olyset,LastNight,Unclear,NA,LastNight,NA,NA,NA,,
11691,Zambia,11115,11115,Olyset,LastNight,NA,NA,NA,NA,NA,NA,,
7343,Zambia,11116,11116,Olyset,NotLastNight,NotLastNight,NA,LastNight,NA,NotLastNight,NA,,
11692,Zambia,11117,11117,Olyset,LastNight,Attrited,NA,LastNight,NA,NA,NA,,
11693,Zambia,11118,11118,Olyset,NotLastNight,Unclear,NA,LastNight,NA,NA,NA,,
7612,Zambia,11119,11119,Olyset,LastNight,NA,NA,LastNight,NA,LastNight,NA,,
11694,Zambia,11120,11120,Olyset,LastNight,NA,NA,Unclear,NA,NA,NA,,
